Label,Notation,Parent Notation,Sort Priority
All,all,,1
Under 10m,u10m,all,2
10 to 12m,10-12m,all,3
Over 12m,o12m,all,4
Under 10m,u10m,all,5
10 to 12m,10-12m,all,6
12 to 15m,12-15m,all,7
15 to 24m,15-24m,all,8
Over 24m,o24m,all,9
