areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-09-19,33,339901
nation,England,E92000001,2020-09-18,1537,339868
nation,England,E92000001,2020-09-17,2896,338331
nation,England,E92000001,2020-09-16,3250,335435
nation,England,E92000001,2020-09-15,2903,332185
nation,England,E92000001,2020-09-14,2860,329282
nation,England,E92000001,2020-09-13,1688,326422
nation,England,E92000001,2020-09-12,2190,324734
nation,England,E92000001,2020-09-11,2849,322544
nation,England,E92000001,2020-09-10,3094,319695
nation,England,E92000001,2020-09-09,2844,316601
nation,England,E92000001,2020-09-08,2997,313757
nation,England,E92000001,2020-09-07,3447,310760
nation,England,E92000001,2020-09-06,2052,307313
nation,England,E92000001,2020-09-05,2185,305261
nation,England,E92000001,2020-09-04,2582,303076
nation,England,E92000001,2020-09-03,2660,300494
nation,England,E92000001,2020-09-02,2615,297834
nation,England,E92000001,2020-09-01,1915,295219
nation,England,E92000001,2020-08-31,1253,293304
nation,England,E92000001,2020-08-30,967,292051
nation,England,E92000001,2020-08-29,1034,291084
nation,England,E92000001,2020-08-28,1379,290050
nation,England,E92000001,2020-08-27,1325,288671
nation,England,E92000001,2020-08-26,1134,287346
nation,England,E92000001,2020-08-25,1053,286212
nation,England,E92000001,2020-08-24,1081,285159
nation,England,E92000001,2020-08-23,693,284078
nation,England,E92000001,2020-08-22,712,283385
nation,England,E92000001,2020-08-21,999,282673
nation,England,E92000001,2020-08-20,1218,281674
nation,England,E92000001,2020-08-19,1073,280456
nation,England,E92000001,2020-08-18,924,279383
nation,England,E92000001,2020-08-17,1138,278459
nation,England,E92000001,2020-08-16,527,277321
nation,England,E92000001,2020-08-15,647,276794
nation,England,E92000001,2020-08-14,1044,276147
nation,England,E92000001,2020-08-13,1018,275103
nation,England,E92000001,2020-08-12,1093,274085
nation,England,E92000001,2020-08-11,1213,272992
nation,England,E92000001,2020-08-10,1352,271779
nation,England,E92000001,2020-08-09,557,270427
nation,England,E92000001,2020-08-08,638,269870
nation,England,E92000001,2020-08-07,858,269232
nation,England,E92000001,2020-08-06,980,268374
nation,England,E92000001,2020-08-05,944,267394
nation,England,E92000001,2020-08-04,921,266450
nation,England,E92000001,2020-08-03,939,265529
nation,England,E92000001,2020-08-02,513,264590
nation,England,E92000001,2020-08-01,494,264077
nation,England,E92000001,2020-07-31,622,263583
nation,England,E92000001,2020-07-30,855,262961
nation,England,E92000001,2020-07-29,970,262106
nation,England,E92000001,2020-07-28,780,261136
nation,England,E92000001,2020-07-27,809,260356
nation,England,E92000001,2020-07-26,514,259547
nation,England,E92000001,2020-07-25,490,259033
nation,England,E92000001,2020-07-24,717,258543
nation,England,E92000001,2020-07-23,734,257826
nation,England,E92000001,2020-07-22,748,257092
nation,England,E92000001,2020-07-21,690,256344
nation,England,E92000001,2020-07-20,754,255654
nation,England,E92000001,2020-07-19,413,254900
nation,England,E92000001,2020-07-18,467,254487
nation,England,E92000001,2020-07-17,548,254020
nation,England,E92000001,2020-07-16,640,253472
nation,England,E92000001,2020-07-15,723,252832
nation,England,E92000001,2020-07-14,650,252109
nation,England,E92000001,2020-07-13,690,251459
nation,England,E92000001,2020-07-12,351,250769
nation,England,E92000001,2020-07-11,420,250418
nation,England,E92000001,2020-07-10,521,249998
nation,England,E92000001,2020-07-09,684,249477
nation,England,E92000001,2020-07-08,673,248793
nation,England,E92000001,2020-07-07,556,248120
nation,England,E92000001,2020-07-06,654,247564
nation,England,E92000001,2020-07-05,539,246910
nation,England,E92000001,2020-07-04,387,246371
nation,England,E92000001,2020-07-03,539,245984
nation,England,E92000001,2020-07-02,559,245445
nation,England,E92000001,2020-07-01,607,244886
nation,England,E92000001,2020-06-30,571,244279
nation,England,E92000001,2020-06-29,669,243708
nation,England,E92000001,2020-06-28,411,243039
nation,England,E92000001,2020-06-27,503,242628
nation,England,E92000001,2020-06-26,644,242125
nation,England,E92000001,2020-06-25,638,241481
nation,England,E92000001,2020-06-24,729,240843
nation,England,E92000001,2020-06-23,728,240114
nation,England,E92000001,2020-06-22,816,239386
nation,England,E92000001,2020-06-21,549,238570
nation,England,E92000001,2020-06-20,628,238021
nation,England,E92000001,2020-06-19,815,237393
nation,England,E92000001,2020-06-18,942,236578
nation,England,E92000001,2020-06-17,911,235636
nation,England,E92000001,2020-06-16,994,234725
nation,England,E92000001,2020-06-15,938,233731
nation,England,E92000001,2020-06-14,746,232793
nation,England,E92000001,2020-06-13,787,232047
nation,England,E92000001,2020-06-12,938,231260
nation,England,E92000001,2020-06-11,916,230322
nation,England,E92000001,2020-06-10,1084,229406
nation,England,E92000001,2020-06-09,1057,228322
nation,England,E92000001,2020-06-08,991,227265
nation,England,E92000001,2020-06-07,665,226274
nation,England,E92000001,2020-06-06,723,225609
nation,England,E92000001,2020-06-05,1022,224886
