Label,Notation,Parent Notation,Sort Priority
0 to 19,0-19,,1	
20 to 39,20-39,,2
40 to 59,40-59,,3
60 to 79,60-79,,4
80 Plus,8-plus,,5	
TBC,tbc,,6
