Category,Code
total,N92000002
all,N92000002
All,N92000002
Northern Ireland,N92000002
antrim-newtownabbey,N09000001
Antrim Newtownabbey,N09000001
ards-north-down,N09000011
Ards and North Down,N09000011
armagh-city-banbridge-craigavon,N09000002
Armagh City Banbridge and Craigavon,N09000002
belfast,N09000003
Belfast,N09000003
causeway-coast-glens,N09000004
Causeway Coast Glens,N09000004
derry-city-strabane,N09000005
Derry City Strabane,N09000005
fermanagh-omagh,N09000006
Fermanagh Omagh,N09000006
lisburn-castlereagh,N09000007
Lisburn Castlereagh,N09000007
mid-east-antrim,N09000008
Mid and East Antrim,N09000008
mid-ulster,N06000010
Mid Ulster,N06000010
newry-mourne-down,N09000010
Newry Mourne and Down,N09000010
